name,date_utc,success,cores,rocket,payloads,launchpad,core_flight,core_reused,landing_attempt,landing_success,landing_type,landpad,rocket_name,Class
Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,True,"[{'core': '5e9e289ef359185f2b3b2628', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4b7b6c3bb0006eeb1e7'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
COTS 1,2010-12-08T15:43:00.000Z,True,"[{'core': '5e9e289ef35918187c3b2629', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,"['5eb0e4b9b6c3bb0006eeb1e8', '5eb0e4b9b6c3bb0006eeb1e9']",5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
COTS 2,2012-05-22T07:44:00.000Z,True,"[{'core': '5e9e289ef35918f39c3b262a', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bab6c3bb0006eeb1ea'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
CRS-1,2012-10-08T00:35:00.000Z,True,"[{'core': '5e9e289ff3591821a73b262b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,"['5eb0e4bab6c3bb0006eeb1eb', '5eb0e4bab6c3bb0006eeb1ec']",5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
CRS-2,2013-03-01T19:10:00.000Z,True,"[{'core': '5e9e289ff3591884e03b262c', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ed'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
CASSIOPE,2013-09-29T16:00:00.000Z,True,"[{'core': '5e9e289ff359180ae23b262d', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ee'],5e9e4502f509092b78566f87,1,False,True,False,Ocean,,Falcon 9,0
SES-8,2013-12-03T22:41:00.000Z,True,"[{'core': '5e9e289ff35918862c3b262e', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1ef'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
Thaicom 6,2014-01-06T18:06:00.000Z,True,"[{'core': '5e9e289ff3591878603b262f', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1f0'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
CRS-3,2014-04-18T19:25:00.000Z,True,"[{'core': '5e9e289ff3591829343b2630', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bbb6c3bb0006eeb1f1'],5e9e4501f509094ba4566f84,1,False,True,True,Ocean,,Falcon 9,1
OG-2 Mission 1,2014-07-14T15:15:00.000Z,True,"[{'core': '5e9e28a0f3591870a63b2631', 'flight': 1, 'gridfins': False, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f2'],5e9e4501f509094ba4566f84,1,False,True,True,Ocean,,Falcon 9,1
AsiaSat 8,2014-08-05T08:00:00.000Z,True,"[{'core': '5e9e28a0f359186e2e3b2632', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f3'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
AsiaSat 6,2014-09-07T05:00:00.000Z,True,"[{'core': '5e9e28a0f35918b1bc3b2633', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f4'],5e9e4501f509094ba4566f84,1,False,False,,,,Falcon 9,0
CRS-4,2014-09-21T05:52:00.000Z,True,"[{'core': '5e9e28a0f359184a683b2634', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bcb6c3bb0006eeb1f5'],5e9e4501f509094ba4566f84,1,False,True,False,Ocean,,Falcon 9,0
CRS-5,2015-01-10T09:47:00.000Z,True,"[{'core': '5e9e28a0f359187a3c3b2635', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb761634e7cb'}]",5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1f6'],5e9e4501f509094ba4566f84,1,False,True,False,ASDS,5e9e3032383ecb761634e7cb,Falcon 9,0
DSCOVR,2015-02-11T23:03:00.000Z,True,"[{'core': '5e9e28a0f3591885be3b2636', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}]",5e9d0d95eda69973a809d1ec,['5eb0e4bdb6c3bb0006eeb1f7'],5e9e4501f509094ba4566f84,1,False,True,True,Ocean,,Falcon 9,1
